"coluna","codigo","descricao"
"PA_PROC_ID","0102010285","INSPECAO SANITARIA DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS"
"PA_PROC_ID","0102010293","LICENCIAMENTO SANITARIO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS"
"PA_PROC_ID","0102010307","CADASTRO DE INDUSTRIAS DE MEDICAMENTOS"
"PA_PROC_ID","0102010315","INSPECAO SANITARIA DE INDUSTRIA DE MEDICAMENTOS"
"PA_PROC_ID","0102010323","LICENCIAMENTO SANITARIO DE INDUSTRIAS DE MEDICAMENTOS"
"PA_PROC_ID","0102010331","CADASTRO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA"
"PA_PROC_ID","0102010340","INSPECAO SANITARIA DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA."
"PA_PROC_ID","0102010358","LICENCIAMENTO SANITARIO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAM"
"PA_PROC_ID","0102010366","CADASTRO DE SERVICOS HOSPITALARES DE ATENCAO AO PARTO E A CRIANCA"
"PA_PROC_ID","0102010374","INSPECAO SANITARIA DE SERVICOS HOSPITALARES DE ATENCAO AO PARTO E A CRIANCA"
"PA_PROC_ID","0102010382","LICENCIAMENTO SANITARIO DE SERVICOS HOSPITALARES DE ATENCAO AO PARTO E A CRIANCA"
"PA_PROC_ID","0102010390","CADASTRO DE SERVICOS DE HEMOTERAPIA"
"PA_PROC_ID","0102010404","INSPECAO SANITARIA DE SERVICOS DE HEMOTERAPIA"
"PA_PROC_ID","0102010412","LICENCIAMENTO SANITARIO DE SERVICOS DE HEMOTERAPIA"
"PA_PROC_ID","0102010420","CADASTRO DE SERVICOS DE TERAPIA RENAL SUBSTITUTIVA"
"PA_PROC_ID","0102010439","INSPECAO SANITARIA DE SERVICOS DE TERAPIA RENAL SUBSTITUTIVA"
"PA_PROC_ID","0102010447","LICENCIAMENTO SANITARIO DE SERVICOS DE TERAPIA RENAL SUBSTITUTIVA"
"PA_PROC_ID","0102010455","CADASTRO DE SERVICOS DE ALIMENTACAO"
"PA_PROC_ID","0102010463","INSPECAO SANITARIA DE SERVICOS DE ALIMENTACAO"
"PA_PROC_ID","0102010471","LICENCIAMENTO SANITARIO DE SERVICOS DE ALIMENTACAO"
"PA_PROC_ID","0102010480","FISCALIZACAO DO USO DE PRODUTOS FUMIGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PU"
"PA_PROC_ID","0102010498","LAUDO DE ANALISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILANCIA S"
"PA_PROC_ID","0102010501","ATIVIDADES EDUCATIVAS SOBRE A TEMATICA DA DENGUE,REALIZADAS PARA A POPULACAO"
"PA_PROC_ID","0102010510","ATIVIDADES EDUCATIVAS,COM RELACAO AO CONSUMO DE SODIO, ACUCAR E GORDURAS, REALIZADAS PARA O SETO"
"PA_PROC_ID","0102010528","INSTAURACAO DE PROCESSO ADMINISTRATIVO SANITARIO"
"PA_PROC_ID","0102010536","CONCLUSAO DE PROCESSO ADMINISTRATIVO SANITARIO"
"PA_PROC_ID","0102010544","CADASTRO DE INDUSTRIAS DE INSUMOS FARMACEUTICOS"
"PA_PROC_ID","0102010552","CADASTRO DE INDUSTRIAS DE PRODUTOS PARA SAUDE"
"PA_PROC_ID","0102010560","INSPECAO SANITARIA DE INDUSTRIAS DE INSUMOS FARMACEUTICOS"
"PA_PROC_ID","0102010579","INSPECAO SANITARIA DE INDUSTRIAS DE PRODUTOS PARA SAUDE"
"PA_PROC_ID","0102010587","IMPLEMENTACAO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NIVEL TRIPARTITE RELACIONADOS A INSPECAO"
"PA_PROC_ID","0102010595","IMPLEMENTACAO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NIVEL TRIPARTITE RELACIONADOS A INSPECAO"
"PA_PROC_ID","0102010609","IMPLEMENTACAO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NIVEL TRIPARTITE RELACIONADOS A INSPECAO E"
"PA_PROC_ID","0102010617","ENVIO DE RELATORIOS DE INSPECAO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS A ANVISA"
"PA_PROC_ID","0102010625","ENVIO DE RELATORIOS DE INSPECAO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACEUTICOS A ANVIS"
"PA_PROC_ID","0102010633","ENVIO DE RELATORIOS DE INSPECAO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAUDE A ANVISA"
"PA_PROC_ID","0102010641","AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSAVEL PELAS ATIVIDADES DE INSPECAO DE ESTABEL"
"PA_PROC_ID","0102010650","AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSAVEL PELAS ATIVIDADES DE INSPECAO DE ESTABEL"
"PA_PROC_ID","0102010668","AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSAVEL PELAS ATIVIDADES DE INSPECAO DE ESTABEL"
"PA_PROC_ID","0102020019","VIGILANCIA DA SITUACAO DE SAUDE DOS TRABALHADORES"
"PA_PROC_ID","0102020027","ATIVIDADE DE EDUCACAO EM SAUDE DO TRABALHADOR"
"PA_PROC_ID","0102020035","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR"
"PA_PROC_ID","0102020043","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA AVALIACAO DE CUMPRIMENTO DE RECOMENDACOES"
"PA_PROC_ID","0102020051","BUSCA ATIVA DE CASOS SUSPEITOS DE DOENCAS OU AGRAVOS RELACIONADOS AO TRABALHO"
"PA_PROC_ID","0102020060","APOIO INSTITUCIONAL DE VIGILANCIA EM SAUDE DO TRABALHADOR (VISAT) PARA A REDE DE ATENCAO A SAUD"
"PA_PROC_ID","0102020078","ATIVIDADES COM GRUPOS NA TEMATICA DE SAUDE DO TRABALHADOR"
"PA_PROC_ID","0102020086","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA MAPEAMENTO DE RISCOS OCUPACIONAIS"
"PA_PROC_ID","0102020094","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA INVESTIGACAO DE ACIDENTE DE TRABALHO"
"PA_PROC_ID","0102020108","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA SUBSIDIAR ESTABELECIMENTO DA RELACAO ENTRE DOEN"
"PA_PROC_ID","0102020116","INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA INVESTIGACAO DE SURTOS/EVENTOS INUSITADOS RELAC"
"PA_PROC_ID","0102020124","ACOES DE ARTICULACAO COM CONTROLE SOCIAL E REPRESENTANTES DE TRABALHADORES"
"PA_PROC_ID","0102020132","ACOES INTER E INTRASSETORIAIS DE SAUDE DO TRABALHADOR"
"PA_PROC_ID","0102020140","VIGILANCIA EM SAUDE DO TRABALHADOR NAS EMERGENCIAS EM SAUDE PUBLICA"
"PA_PROC_ID","0201010011","AMNIOCENTESE"
"PA_PROC_ID","0201010020","BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE"
"PA_PROC_ID","0201010038","BIOPSIA CIRURGICA DE TIREOIDE"
"PA_PROC_ID","0201010046","BIOPSIA DE ANUS E CANAL ANAL"
"PA_PROC_ID","0201010054","BIOPSIA DE BACO POR PUNCAO / ASPIRACAO"
"PA_PROC_ID","0201010062","BIOPSIA DE BEXIGA"
"PA_PROC_ID","0201010070","BIOPSIA DE BOLSA ESCROTAL"
"PA_PROC_ID","0201010089","BIOPSIA DE CONDUTO AUDITIVO EXTERNO"
"PA_PROC_ID","0201010097","BIOPSIA DE CONJUNTIVA"
"PA_PROC_ID","0201010100","BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)"
"PA_PROC_ID","0201010119","BIOPSIA DE CORNEA"
"PA_PROC_ID","0201010127","BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO"
"PA_PROC_ID","0201010135","BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)"
"PA_PROC_ID","0201010143","BIOPSIA DE ENDOCARDIO / MIOCARDIO"
"PA_PROC_ID","0201010151","BIOPSIA DE ENDOMETRIO"
"PA_PROC_ID","0201010160","BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA"
"PA_PROC_ID","0201010178","BIOPSIA DE EPIDIDIMO"
"PA_PROC_ID","0201010186","BIOPSIA DE ESCLERA"
"PA_PROC_ID","0201010194","BIOPSIA DE FARINGE/LARINGE"
"PA_PROC_ID","0201010208","BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO"
"PA_PROC_ID","0201010216","BIOPSIA DE FIGADO POR PUNCAO"
"PA_PROC_ID","0201010224","BIOPSIA DE GANGLIO LINFATICO"
"PA_PROC_ID","0201010232","BIOPSIA DE GLANDULA SALIVAR"
"PA_PROC_ID","0201010240","BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR"
"PA_PROC_ID","0201010259","BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)"
"PA_PROC_ID","0201010267","BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)"
"PA_PROC_ID","0201010275","BIOPSIA DE MEDULA OSSEA"
"PA_PROC_ID","0201010283","BIOPSIA DE MUSCULO (A CEU ABERTO)"
"PA_PROC_ID","0201010291","BIOPSIA DE NERVO"
"PA_PROC_ID","0201010305","BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)"
"PA_PROC_ID","0201010313","BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)"
"PA_PROC_ID","0201010321","BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)"
"PA_PROC_ID","0201010330","BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)"
"PA_PROC_ID","0201010348","BIOPSIA DE OSSO DO CRANIO E DA FACE"
"PA_PROC_ID","0201010356","BIOPSIA DE PALPEBRA"
"PA_PROC_ID","0201010364","BIOPSIA DE PAVILHAO AURICULAR"
"PA_PROC_ID","0201010372","BIOPSIA DE PELE E PARTES MOLES"
"PA_PROC_ID","0201010380","BIOPSIA DE PENIS"
"PA_PROC_ID","0201010399","BIOPSIA DE PIRAMIDE NASAL"
"PA_PROC_ID","0201010402","BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)"
"PA_PROC_ID","0201010410","BIOPSIA DE PROSTATA"
"PA_PROC_ID","0201010429","BIOPSIA DE PULMAO POR ASPIRACAO"
"PA_PROC_ID","0201010437","BIOPSIA DE RIM POR PUNCAO"
"PA_PROC_ID","0201010445","BIOPSIA DE SEIO PARANASAL"
"PA_PROC_ID","0201010453","BIOPSIA DE SINOVIA"
"PA_PROC_ID","0201010461","BIOPSIA DE TESTICULO"
"PA_PROC_ID","0201010470","BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF"
"PA_PROC_ID","0201010488","BIOPSIA DE URETER"
"PA_PROC_ID","0201010496","BIOPSIA DE URETRA"
"PA_PROC_ID","0201010500","BIOPSIA/PUNCAO DE VAGINA"
"PA_PROC_ID","0201010518","BIOPSIA/PUNCAO DE VULVA"
"PA_PROC_ID","0201010526","BIOPSIA DOS TECIDOS MOLES DA BOCA"
"PA_PROC_ID","0201010534","BIOPSIA ESTEREOTAXICA"
"PA_PROC_ID","0201010542","BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE"
"PA_PROC_ID","0201010550","BIOPSIA PRE-ESCALENICA"
"PA_PROC_ID","0201010569","BIOPSIA/EXERESE DE NODULO DE MAMA"
"PA_PROC_ID","0201010577","BIOPSIAS MULTIPLAS P/ ESTADIAMENTO"
"PA_PROC_ID","0201010585","PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA"
"PA_PROC_ID","0201010593","PUNCAO DE CISTERNA SUB-OCCIPITAL"
"PA_PROC_ID","0201010607","PUNCAO DE MAMA POR AGULHA GROSSA"
"PA_PROC_ID","0201010615","PUNCAO DE VAGINA"
"PA_PROC_ID","0201010623","PUNCAO EXPLORADORA DO DEFERENTE"
"PA_PROC_ID","0201010631","PUNCAO LOMBAR"
"PA_PROC_ID","0201010640","PUNCAO P/ ESVAZIAMENTO"
"PA_PROC_ID","0201010658","PUNCAO VENTRICULAR TRANSFONTANELA"
"PA_PROC_ID","0201010666","BIOPSIA DO COLO UTERINO"
"PA_PROC_ID","0201020017","COLETA DE LAVADO BRONCO-ALVEOLAR"
"PA_PROC_ID","0201020025","COLETA DE LINFA PARA PESQUISA DE M. LEPRAE"
"PA_PROC_ID","0201020033","COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGICO"
"PA_PROC_ID","0201020041","COLETA DE MATERIAL PARA EXAME LABORATORIAL"
"PA_PROC_ID","0201020050","COLETA DE SANGUE PARA TRIAGEM NEONATAL"
"PA_PROC_ID","0201020068","TIPIFICACAO DO ALELO HLA-B"
"PA_PROC_ID","0201020076","COLETA DE MATERIAL DO COLO DO UTERO PARA EXAME MOLECULAR DE DETECCAO DE HPV"
"PA_PROC_ID","0201020084","ENTREGA DE MATERIAL OBTIDO POR AUTO COLETA PARA EXAME MOLECULAR PARA DETECCAO DE HPV, NO COLO DO U"
"PA_PROC_ID","0202010015","CLEARANCE OSMOLAR"
"PA_PROC_ID","0202010023","DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO"
"PA_PROC_ID","0202010031","DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS"
"PA_PROC_ID","0202010040","DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)"
"PA_PROC_ID","0202010058","DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)"
"PA_PROC_ID","0202010066","DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)"
"PA_PROC_ID","0202010074","DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)"
"PA_PROC_ID","0202010082","DETERMINACAO DE OSMOLARIDADE"
"PA_PROC_ID","0202010090","DOSAGEM DE 5-NUCLEOTIDASE"
"PA_PROC_ID","0202010104","DOSAGEM DE ACETONA"
"PA_PROC_ID","0202010112","DOSAGEM DE ACIDO ASCORBICO"
"PA_PROC_ID","0202010120","DOSAGEM DE ACIDO URICO"
"PA_PROC_ID","0202010139","DOSAGEM DE ACIDO VANILMANDELICO"
"PA_PROC_ID","0202010147","DOSAGEM DE ALDOLASE"
"PA_PROC_ID","0202010155","DOSAGEM DE ALFA-1-ANTITRIPSINA"
"PA_PROC_ID","0202010163","DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA"
"PA_PROC_ID","0202010171","DOSAGEM DE ALFA-2-MACROGLOBULINA"
"PA_PROC_ID","0202010180","DOSAGEM DE AMILASE"
"PA_PROC_ID","0202010198","DOSAGEM DE AMONIA"
"PA_PROC_ID","0202010201","DOSAGEM DE BILIRRUBINA TOTAL E FRACOES"
"PA_PROC_ID","0202010210","DOSAGEM DE CALCIO"
"PA_PROC_ID","0202010228","DOSAGEM DE CALCIO IONIZAVEL"
"PA_PROC_ID","0202010236","DOSAGEM DE CAROTENO"
"PA_PROC_ID","0202010244","DOSAGEM DE CATECOLAMINAS"
"PA_PROC_ID","0202010252","DOSAGEM DE CERULOPLASMINA"
"PA_PROC_ID","0202010260","DOSAGEM DE CLORETO"
"PA_PROC_ID","0202010279","DOSAGEM DE COLESTEROL HDL"
"PA_PROC_ID","0202010287","DOSAGEM DE COLESTEROL LDL"
"PA_PROC_ID","0202010295","DOSAGEM DE COLESTEROL TOTAL"
"PA_PROC_ID","0202010309","DOSAGEM DE COLINESTERASE"
"PA_PROC_ID","0202010317","DOSAGEM DE CREATININA"
"PA_PROC_ID","0202010325","DOSAGEM DE CREATINOFOSFOQUINASE (CPK)"
"PA_PROC_ID","0202010333","DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB"
"PA_PROC_ID","0202010341","DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA"
"PA_PROC_ID","0202010350","DOSAGEM DE DESIDROGENASE GLUTAMICA"
"PA_PROC_ID","0202010368","DOSAGEM DE DESIDROGENASE LATICA"
"PA_PROC_ID","0202010376","DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)"
"PA_PROC_ID","0202010384","DOSAGEM DE FERRITINA"
"PA_PROC_ID","0202010392","DOSAGEM DE FERRO SERICO"
"PA_PROC_ID","0202010406","DOSAGEM DE FOLATO"
"PA_PROC_ID","0202010414","DOSAGEM DE FOSFATASE ACIDA TOTAL"
"PA_PROC_ID","0202010422","DOSAGEM DE FOSFATASE ALCALINA"
"PA_PROC_ID","0202010430","DOSAGEM DE FOSFORO"
"PA_PROC_ID","0202010449","DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA"
"PA_PROC_ID","0202010457","DOSAGEM DE GALACTOSE"
"PA_PROC_ID","0202010465","DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)"
"PA_PROC_ID","0202010473","DOSAGEM DE GLICOSE"
"PA_PROC_ID","0202010481","DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE"
"PA_PROC_ID","0202010490","DOSAGEM DE HAPTOGLOBINA"
"PA_PROC_ID","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA"
"PA_PROC_ID","0202010511","DOSAGEM DE HIDROXIPROLINA"
"PA_PROC_ID","0202010520","DOSAGEM DE ISOMERASE-FOSFOHEXOSE"
"PA_PROC_ID","0202010538","DOSAGEM DE LACTATO"
"PA_PROC_ID","0202010546","DOSAGEM DE LEUCINO-AMINOPEPTIDASE"
"PA_PROC_ID","0202010554","DOSAGEM DE LIPASE"
"PA_PROC_ID","0202010562","DOSAGEM DE MAGNESIO"
"PA_PROC_ID","0202010570","DOSAGEM DE MUCO-PROTEINAS"
"PA_PROC_ID","0202010589","DOSAGEM DE PIRUVATO"
"PA_PROC_ID","0202010597","DOSAGEM DE PORFIRINAS"
"PA_PROC_ID","0202010600","DOSAGEM DE POTASSIO"
"PA_PROC_ID","0202010619","DOSAGEM DE PROTEINAS TOTAIS"
"PA_PROC_ID","0202010627","DOSAGEM DE PROTEINAS TOTAIS E FRACOES"
"PA_PROC_ID","0202010635","DOSAGEM DE SODIO"
"PA_PROC_ID","0202010643","DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)"
"PA_PROC_ID","0202010651","DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)"
"PA_PROC_ID","0202010660","DOSAGEM DE TRANSFERRINA"
"PA_PROC_ID","0202010678","DOSAGEM DE TRIGLICERIDEOS"
"PA_PROC_ID","0202010686","DOSAGEM DE TRIPTOFANO"
"PA_PROC_ID","0202010694","DOSAGEM DE UREIA"
"PA_PROC_ID","0202010708","DOSAGEM DE VITAMINA B12"
"PA_PROC_ID","0202010716","ELETROFORESE DE LIPOPROTEINAS"
